,ticket,time_setup,time_setup_msc,time_done,time_done_msc,time_expiration,type,type_time,type_filling,state,magic,position_id,position_by_id,reason,volume_initial,volume_current,price_open,sl,tp,price_current,price_stoplimit,symbol,comment,external_id,profit
8,50466047095,2023-05-25 16:45:02.000,2023-05-25 16:45:02.805,2023-05-25 16:45:02.000,2023-05-25 16:45:02.805,0,sell,1,0,4,11031994,50466047095,0,3,1.0,0.0,1.23301,1.23514,1.23031,1.23301,0.0,GBPUSD,Ordem de venda e,,-172.45
9,50466237011,2023-05-25 18:30:01.000,2023-05-25 18:30:01.235,2023-05-25 18:30:01.000,2023-05-25 18:30:01.235,0,sell,1,0,4,11031994,50466237011,0,3,1.0,0.0,1.23266,1.23514,1.23031,1.23266,0.0,GBPUSD,Ordem de venda e,,-200.79
11,50467502180,2023-05-26 15:45:04.000,2023-05-26 15:45:04.477,2023-05-26 15:45:04.000,2023-05-26 15:45:04.478,0,sell,1,0,4,11031994,50467502180,0,3,1.0,0.0,1.23587,1.23832,1.23349,1.23587,0.0,GBPUSD,Ordem de venda e,,192.95
12,50468006305,2023-05-26 20:15:03.000,2023-05-26 20:15:03.948,2023-05-26 20:15:03.000,2023-05-26 20:15:03.948,0,buy,1,0,4,11031994,50468006305,0,3,1.0,0.0,1.23498,1.23315,1.23801,1.23498,0.0,GBPUSD,Ordem de compra ,,-148.4
13,50469886901,2023-05-30 09:00:09.000,2023-05-30 09:00:09.072,2023-05-30 09:00:09.000,2023-05-30 09:00:09.072,0,sell,1,0,4,11031994,50469886901,0,3,1.0,0.0,1.23324,1.23514,1.23031,1.23324,0.0,GBPUSD,Ordem de venda e,,-153.83
20,50473412110,2023-05-31 21:52:05.000,2023-05-31 21:52:05.507,2023-05-31 21:52:05.000,2023-05-31 21:52:05.507,0,buy,1,0,4,11031994,50473412110,0,3,1.0,0.0,1.2429000000000001,1.2411,1.24567,1.2429000000000001,0.0,GBPUSD,Ordem de compra ,,-51.52
25,50475990383,2023-06-02 10:45:03.000,2023-06-02 10:45:03.949,2023-06-02 10:45:03.000,2023-06-02 10:45:03.949,0,sell,1,0,4,11031994,50475990383,0,3,1.0,0.0,1.25237,1.2542200000000001,1.24964,1.25237,0.0,GBPUSD,Ordem de venda e,,218.46
26,50477038183,2023-06-02 19:15:02.000,2023-06-02 19:15:02.900,2023-06-02 19:15:02.000,2023-06-02 19:15:02.900,0,sell,1,0,4,11031994,50477038183,0,3,1.0,0.0,1.24599,1.24786,1.24328,1.24599,0.0,GBPUSD,Ordem de venda e,,217.97
27,50477441561,2023-06-05 02:12:11.000,2023-06-05 02:12:11.061,2023-06-05 02:12:11.000,2023-06-05 02:12:11.061,0,sell,1,0,4,11031994,50477441561,0,3,1.0,0.0,1.24322,1.24627,1.24169,1.24322,0.0,GBPUSD,Ordem de venda e,,123.22
28,50478174429,2023-06-05 12:30:04.000,2023-06-05 12:30:04.985,2023-06-05 12:30:04.000,2023-06-05 12:30:04.986,0,sell,1,0,4,11031994,50478174429,0,3,1.0,0.0,1.23966,1.2415,1.23692,1.23966,0.0,GBPUSD,Ordem de venda e,,221.52
31,50479947413,2023-06-06 10:30:05.000,2023-06-06 10:30:05.065,2023-06-06 10:30:05.000,2023-06-06 10:30:05.065,0,sell,1,0,4,11031994,50479947413,0,3,1.0,0.0,1.2429000000000001,1.24468,1.2401,1.2429000000000001,0.0,GBPUSD,Ordem de venda e,,225.79
32,50480415922,2023-06-06 14:55:39.000,2023-06-06 14:55:39.240,2023-06-06 14:55:39.000,2023-06-06 14:55:39.240,0,sell,1,0,4,11031994,50480415922,0,3,1.0,0.0,1.24007,1.24309,1.23851,1.24007,0.0,GBPUSD,Ordem de venda e,,-242.94
34,50481663537,2023-06-07 09:30:02.000,2023-06-07 09:30:02.284,2023-06-07 09:30:02.000,2023-06-07 09:30:02.285,0,sell,1,0,4,11031994,50481663537,0,3,1.0,0.0,1.24113,1.24309,1.23851,1.24113,0.0,GBPUSD,Ordem de venda e,,-157.67
39,50482694881,2023-06-07 17:30:04.000,2023-06-07 17:30:04.535,2023-06-07 17:30:04.000,2023-06-07 17:30:04.535,0,sell,1,0,4,11031994,50482694881,0,3,1.0,0.0,1.2476099999999999,1.24945,1.24487,1.2476099999999999,0.0,GBPUSD,Ordem de venda e,,220.1
40,50482924402,2023-06-07 18:51:27.000,2023-06-07 18:51:27.855,2023-06-07 18:51:27.000,2023-06-07 18:51:27.855,0,sell,1,0,4,11031994,50482924402,0,3,1.0,0.0,1.24481,1.24786,1.24328,1.24481,0.0,GBPUSD,Ordem de venda e,,123.06
41,50483076056,2023-06-07 19:58:09.000,2023-06-07 19:58:09.919,2023-06-07 19:58:09.000,2023-06-07 19:58:09.919,0,sell,1,0,4,11031994,50483076056,0,3,1.0,0.0,1.2432699999999999,1.24627,1.24169,1.2432699999999999,0.0,GBPUSD,Ordem de venda e,,-240.72
44,50484054711,2023-06-08 13:02:53.000,2023-06-08 13:02:53.151,2023-06-08 13:02:53.000,2023-06-08 13:02:53.152,0,sell,1,0,4,11031994,50484054711,0,3,1.0,0.0,1.24577,1.24786,1.24328,1.24577,0.0,GBPUSD,Ordem de venda e,,-167.49
50,50485785500,2023-06-09 11:15:11.000,2023-06-09 11:15:11.926,2023-06-09 11:15:11.000,2023-06-09 11:15:11.926,0,sell,1,0,4,11031994,50485785500,0,3,1.0,0.0,1.25396,1.2558099999999999,1.25123,1.25396,0.0,GBPUSD,Ordem de venda e,,-147.32
52,50486350363,2023-06-09 16:15:06.000,2023-06-09 16:15:06.542,2023-06-09 16:15:06.000,2023-06-09 16:15:06.543,0,buy,1,0,4,11031994,50486350363,0,3,1.0,0.0,1.25757,1.25541,1.25998,1.25757,0.0,GBPUSD,Ordem de compra ,,-172.06
53,50487541551,2023-06-12 11:00:02.000,2023-06-12 11:00:02.847,2023-06-12 11:00:02.000,2023-06-12 11:00:02.847,0,buy,1,0,4,11031994,50487541551,0,3,1.0,0.0,1.25894,1.2570000000000001,1.26157,1.25894,0.0,GBPUSD,Ordem de compra ,,-154.34
